Datetime,Adj Close,Volume,Adj Close(t-1),Volume(t-1),Adj Close(t-2),Volume(t-2),Adj Close(t-3),Volume(t-3),Adj Close(t-4),Volume(t-4),Adj Close(t-5),Volume(t-5),Adj Close(t-6),Volume(t-6),Adj Close(t-7),Volume(t-7)
2024-04-25 10:44:00-04:00,169.01,102706,168.92,86295.0,168.86,67713.0,168.85,65238.0,168.87,87815.0,168.65,103163.0,168.85,115959.0,168.89,69078.0
2024-04-25 10:45:00-04:00,168.95,85665,169.01,102706.0,168.92,86295.0,168.86,67713.0,168.85,65238.0,168.87,87815.0,168.65,103163.0,168.85,115959.0
2024-04-25 10:46:00-04:00,168.79,88962,168.95,85665.0,169.01,102706.0,168.92,86295.0,168.86,67713.0,168.85,65238.0,168.87,87815.0,168.65,103163.0
2024-04-25 10:47:00-04:00,168.75,86842,168.79,88962.0,168.95,85665.0,169.01,102706.0,168.92,86295.0,168.86,67713.0,168.85,65238.0,168.87,87815.0
2024-04-25 10:48:00-04:00,168.71,81980,168.75,86842.0,168.79,88962.0,168.95,85665.0,169.01,102706.0,168.92,86295.0,168.86,67713.0,168.85,65238.0
2024-04-25 10:49:00-04:00,168.71,87596,168.71,81980.0,168.75,86842.0,168.79,88962.0,168.95,85665.0,169.01,102706.0,168.92,86295.0,168.86,67713.0
2024-04-25 10:50:00-04:00,168.71,72483,168.71,87596.0,168.71,81980.0,168.75,86842.0,168.79,88962.0,168.95,85665.0,169.01,102706.0,168.92,86295.0
2024-04-25 10:51:00-04:00,168.69,45288,168.71,72483.0,168.71,87596.0,168.71,81980.0,168.75,86842.0,168.79,88962.0,168.95,85665.0,169.01,102706.0
2024-04-25 10:52:00-04:00,168.54,86479,168.69,45288.0,168.71,72483.0,168.71,87596.0,168.71,81980.0,168.75,86842.0,168.79,88962.0,168.95,85665.0
2024-04-25 10:53:00-04:00,168.58,67619,168.54,86479.0,168.69,45288.0,168.71,72483.0,168.71,87596.0,168.71,81980.0,168.75,86842.0,168.79,88962.0
2024-04-25 10:54:00-04:00,168.54,63781,168.58,67619.0,168.54,86479.0,168.69,45288.0,168.71,72483.0,168.71,87596.0,168.71,81980.0,168.75,86842.0
2024-04-25 10:55:00-04:00,168.55,67911,168.54,63781.0,168.58,67619.0,168.54,86479.0,168.69,45288.0,168.71,72483.0,168.71,87596.0,168.71,81980.0
2024-04-25 10:56:00-04:00,168.65,96769,168.55,67911.0,168.54,63781.0,168.58,67619.0,168.54,86479.0,168.69,45288.0,168.71,72483.0,168.71,87596.0
2024-04-25 10:57:00-04:00,168.63,70095,168.65,96769.0,168.55,67911.0,168.54,63781.0,168.58,67619.0,168.54,86479.0,168.69,45288.0,168.71,72483.0
2024-04-25 10:58:00-04:00,168.62,60062,168.63,70095.0,168.65,96769.0,168.55,67911.0,168.54,63781.0,168.58,67619.0,168.54,86479.0,168.69,45288.0
2024-04-25 10:59:00-04:00,168.57,67222,168.62,60062.0,168.63,70095.0,168.65,96769.0,168.55,67911.0,168.54,63781.0,168.58,67619.0,168.54,86479.0
2024-04-25 11:00:00-04:00,168.57,77653,168.57,67222.0,168.62,60062.0,168.63,70095.0,168.65,96769.0,168.55,67911.0,168.54,63781.0,168.58,67619.0
2024-04-25 11:01:00-04:00,168.56,75363,168.57,77653.0,168.57,67222.0,168.62,60062.0,168.63,70095.0,168.65,96769.0,168.55,67911.0,168.54,63781.0
2024-04-25 11:02:00-04:00,168.6,80167,168.56,75363.0,168.57,77653.0,168.57,67222.0,168.62,60062.0,168.63,70095.0,168.65,96769.0,168.55,67911.0
